==91178== NVPROF is profiling process 91178, command: python train.py --backbone xception --lr 0.01 --workers 2 --epochs 1 --batch-size 2 --gpu-ids 0 --checkname deeplab-xception --eval-interval 1 --dataset cityscapes --profile-epoch-list 0 --profile-batch-list 2 --prof-forward
==91178== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==91178== Profiling application: python train.py --backbone xception --lr 0.01 --workers 2 --epochs 1 --batch-size 2 --gpu-ids 0 --checkname deeplab-xception --eval-interval 1 --dataset cityscapes --profile-epoch-list 0 --profile-batch-list 2 --prof-forward
==91178== Profiling result:
==91178== Metric result:
Invocations                               Metric Name                            Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: void kernelPointwiseApply2<TensorMulOp<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<TensorMulOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)
          1                  gld_requested_throughput              Requested Global Load Throughput  424.67GB/s  424.67GB/s  424.67GB/s
          1                  gst_requested_throughput             Requested Global Store Throughput  62.244GB/s  62.244GB/s  62.244GB/s
          1                    shared_load_throughput                 Shared Memory Load Throughput  2371.4GB/s  2371.4GB/s  2371.4GB/s
          1                   shared_store_throughput                Shared Memory Store Throughput  547.10GB/s  547.10GB/s  547.10GB/s
          1                            gld_efficiency                 Global Memory Load Efficiency      44.31%      44.31%      44.31%
          1                            gld_throughput                        Global Load Throughput  958.31GB/s  958.31GB/s  958.31GB/s
          1                            gst_efficiency                Global Memory Store Efficiency      82.04%      82.04%      82.04%
          1                            gst_throughput                       Global Store Throughput  75.872GB/s  75.872GB/s  75.872GB/s
          1                         shared_efficiency                      Shared Memory Efficiency     175.78%     175.78%     175.78%
          1                           global_hit_rate             Global Hit Rate in unified l1/tex      62.47%      62.47%      62.47%
          1                            local_hit_rate                                Local Hit Rate       0.00%       0.00%       0.00%
          1                  l2_tex_read_transactions               L2 Transactions (Texture Reads)     6106872     6106872     6106872
          1                 l2_tex_write_transactions              L2 Transactions (Texture Writes)     1288150     1288150     1288150
          1                  shared_load_transactions                      Shared Load Transactions    10065552    10065552    10065552
          1                 shared_store_transactions                     Shared Store Transactions     2322184     2322184     2322184
          1                        tex_cache_hit_rate                        Unified Cache Hit Rate      60.72%      60.72%      60.72%
          1                    tex_cache_transactions                    Unified Cache Transactions     7255744     7255744     7255744
    Kernel: void kernelPointwiseApply2<ThresholdUpdateOutput<float>, float, float, unsigned int, int=1, int=1>(OffsetInfo<ThresholdUpdateOutput<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, float, float)
          9                             flop_count_dp   Floating Point Operations(Double Precision)           0           0           0
          9                             flop_count_sp   Floating Point Operations(Single Precision)           0           0           0
          9                             flop_count_hp     Floating Point Operations(Half Precision)           0           0           0
          9                                inst_fp_64                       FP Instructions(Double)           0           0           0
          9                                inst_fp_32                       FP Instructions(Single)         512     8520192     2380696
          9                                inst_fp_16                         HP Instructions(Half)           0           0           0
          9                              inst_integer                          Integer Instructions        9216   153363456    42852728
          9                  gld_requested_throughput              Requested Global Load Throughput  939.00MB/s  202.27GB/s  196.81GB/s
          9                  gst_requested_throughput             Requested Global Store Throughput  939.00MB/s  202.27GB/s  196.81GB/s
          9                    shared_load_throughput                 Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          9                   shared_store_throughput                Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          9                            gld_efficiency                 Global Memory Load Efficiency     100.00%     100.00%     100.00%
          9                            gld_throughput                        Global Load Throughput  939.00MB/s  202.27GB/s  196.81GB/s
          9                            gst_efficiency                Global Memory Store Efficiency     100.00%     100.00%     100.00%
          9                            gst_throughput                       Global Store Throughput  939.00MB/s  202.27GB/s  196.81GB/s
          9                         shared_efficiency                      Shared Memory Efficiency       0.00%       0.00%       0.00%
          9                           global_hit_rate             Global Hit Rate in unified l1/tex      50.00%      50.00%      50.00%
          9                            local_hit_rate                                Local Hit Rate       0.00%       0.00%       0.00%
          9                  l2_tex_read_transactions               L2 Transactions (Texture Reads)          64     1065024      297587
          9                 l2_tex_write_transactions              L2 Transactions (Texture Writes)          64     1065024      297587
          9                  shared_load_transactions                      Shared Load Transactions           0           0           0
          9                 shared_store_transactions                     Shared Store Transactions           0           0           0
          9                        tex_cache_hit_rate                        Unified Cache Hit Rate      50.00%      50.00%      50.00%
          9                    tex_cache_transactions                    Unified Cache Transactions          64     1065024      297587
    Kernel: void kernelPointwiseApply1<ThresholdUpdateOutputIP<float>, float, unsigned int, int=1>(OffsetInfo<ThresholdUpdateOutputIP<float>, float, unsigned int>, float, float)
         65                             flop_count_dp   Floating Point Operations(Double Precision)           0           0           0
         65                             flop_count_sp   Floating Point Operations(Single Precision)           0           0           0
         65                             flop_count_hp     Floating Point Operations(Half Precision)           0           0           0
         65                                inst_fp_64                       FP Instructions(Double)           0           0           0
         65                                inst_fp_32                       FP Instructions(Single)     1585584    16908544     2725484
         65                                inst_fp_16                         HP Instructions(Half)           0           0           0
         65                              inst_integer                          Integer Instructions    20612912   219812096    35431650
         65                  gld_requested_throughput              Requested Global Load Throughput  192.74GB/s  203.32GB/s  198.30GB/s
         65                  gst_requested_throughput             Requested Global Store Throughput  192.74GB/s  203.32GB/s  198.30GB/s
         65                    shared_load_throughput                 Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         65                   shared_store_throughput                Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         65                            gld_efficiency                 Global Memory Load Efficiency     100.00%     100.00%     100.00%
         65                            gld_throughput                        Global Load Throughput  192.74GB/s  203.32GB/s  198.30GB/s
         65                            gst_efficiency                Global Memory Store Efficiency     100.00%     100.00%     100.00%
         65                            gst_throughput                       Global Store Throughput  192.74GB/s  203.32GB/s  198.30GB/s
         65                         shared_efficiency                      Shared Memory Efficiency       0.00%       0.00%       0.00%
         65                           global_hit_rate             Global Hit Rate in unified l1/tex      50.00%      50.00%      50.00%
         65                            local_hit_rate                                Local Hit Rate       0.00%       0.00%       0.00%
         65                  l2_tex_read_transactions               L2 Transactions (Texture Reads)      198198     2113568      340685
         65                 l2_tex_write_transactions              L2 Transactions (Texture Writes)      198198     2113568      340685
         65                  shared_load_transactions                      Shared Load Transactions           0           0           0
         65                 shared_store_transactions                     Shared Store Transactions           0           0           0
         65                        tex_cache_hit_rate                        Unified Cache Hit Rate      50.00%      50.00%      50.00%
         65                    tex_cache_transactions                    Unified Cache Transactions      198198     2113568      340685
    Kernel: void kernelPointwiseApply3<TensorAddOp<float>, float, float, float, unsigned int, int=1, int=1, int=1>(OffsetInfo<TensorAddOp<float>, float, unsigned int>, OffsetInfo<float, float, int=1>, OffsetInfo<float, float, int=1>, float, float)
         20                             flop_count_dp   Floating Point Operations(Double Precision)           0           0           0
         20                             flop_count_sp   Floating Point Operations(Single Precision)     1585584     4260096     1780424
         20                             flop_count_hp     Floating Point Operations(Half Precision)           0           0           0
         20                                inst_fp_64                       FP Instructions(Double)           0           0           0
         20                                inst_fp_32                       FP Instructions(Single)     1585584     4260096     1780424
         20                                inst_fp_16                         HP Instructions(Half)           0           0           0
         20                              inst_integer                          Integer Instructions    36468752    97983232    40950093
         20                  gld_requested_throughput              Requested Global Load Throughput  261.64GB/s  269.39GB/s  263.67GB/s
         20                  gst_requested_throughput             Requested Global Store Throughput  130.82GB/s  134.69GB/s  131.83GB/s
         20                    shared_load_throughput                 Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         20                   shared_store_throughput                Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
         20                            gld_efficiency                 Global Memory Load Efficiency     100.00%     100.00%     100.00%
         20                            gld_throughput                        Global Load Throughput  261.64GB/s  269.39GB/s  263.67GB/s
         20                            gst_efficiency                Global Memory Store Efficiency     100.00%     100.00%     100.00%
         20                            gst_throughput                       Global Store Throughput  130.82GB/s  134.69GB/s  131.83GB/s
         20                         shared_efficiency                      Shared Memory Efficiency       0.00%       0.00%       0.00%
         20                           global_hit_rate             Global Hit Rate in unified l1/tex      50.00%      50.00%      50.00%
         20                            local_hit_rate                                Local Hit Rate       0.00%       0.00%       0.00%
         20                  l2_tex_read_transactions               L2 Transactions (Texture Reads)      396396     1065024      445106
         20                 l2_tex_write_transactions              L2 Transactions (Texture Writes)      198198      532512      222553
         20                  shared_load_transactions                      Shared Load Transactions           0           0           0
         20                 shared_store_transactions                     Shared Store Transactions           0           0           0
         20                        tex_cache_hit_rate                        Unified Cache Hit Rate      50.00%      50.00%      50.00%
         20                    tex_cache_transactions                    Unified Cache Transactions      396396     1065024      445106
    Kernel: void adaptiveaveragepool<float>(float*, float*, int, int, int, int, long, long, long)
          1                             flop_count_dp   Floating Point Operations(Double Precision)           0           0           0
          1                             flop_count_sp   Floating Point Operations(Single Precision)     6610944     6610944     6610944
          1                             flop_count_hp     Floating Point Operations(Half Precision)           0           0           0
          1                                inst_fp_64                       FP Instructions(Double)           0           0           0
          1                                inst_fp_32                       FP Instructions(Single)     6705152     6705152     6705152
          1                                inst_fp_16                         HP Instructions(Half)           0           0           0
          1                              inst_integer                          Integer Instructions    23195648    23195648    23195648
          1                  gld_requested_throughput              Requested Global Load Throughput  33.375GB/s  33.375GB/s  33.375GB/s
          1                  gst_requested_throughput             Requested Global Store Throughput  31.383MB/s  31.383MB/s  31.383MB/s
          1                    shared_load_throughput                 Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   shared_store_throughput                Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                            gld_efficiency                 Global Memory Load Efficiency      12.50%      12.50%      12.50%
          1                            gld_throughput                        Global Load Throughput  267.00GB/s  267.00GB/s  267.00GB/s
          1                            gst_efficiency                Global Memory Store Efficiency      12.50%      12.50%      12.50%
          1                            gst_throughput                       Global Store Throughput  251.06MB/s  251.06MB/s  251.06MB/s
          1                         shared_efficiency                      Shared Memory Efficiency       0.00%       0.00%       0.00%
          1                           global_hit_rate             Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          1                            local_hit_rate                                Local Hit Rate       0.00%       0.00%       0.00%
          1                  l2_tex_read_transactions               L2 Transactions (Texture Reads)     4460544     4460544     4460544
          1                 l2_tex_write_transactions              L2 Transactions (Texture Writes)        4096        4096        4096
          1                  shared_load_transactions                      Shared Load Transactions           0           0           0
          1                 shared_store_transactions                     Shared Store Transactions           0           0           0
          1                        tex_cache_hit_rate                        Unified Cache Hit Rate       0.00%       0.00%       0.00%
          1                    tex_cache_transactions                    Unified Cache Transactions     4460544     4460544     4460544
    Kernel: maxwell_scudnn_128x32_relu_interior_nn
          1                             flop_count_dp   Floating Point Operations(Double Precision)           0           0           0
          1                             flop_count_sp   Floating Point Operations(Single Precision)   549494784   549494784   549494784
          1                             flop_count_hp     Floating Point Operations(Half Precision)           0           0           0
