==10627== NVPROF is profiling process 10627, command: python -m graphsage.model --prof-backprop
==10627== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10627== Profiling application: python -m graphsage.model --prof-backprop
==10627== Profiling result:
==10627== Metric result:
Invocations                               Metric Name                                         Metric Description         Min         Max         Avg
Device "GeForce GTX 1070 Ti (0)"
    Kernel: sgemm_32x32x32_TN_vec
         27                            gld_throughput                                     Global Load Throughput  1.4420GB/s  92.734GB/s  62.113GB/s
         27                            gst_efficiency                             Global Memory Store Efficiency     100.00%     100.00%     100.00%
         27                            gst_throughput                                    Global Store Throughput  738.33MB/s  46.367GB/s  31.056GB/s
         27                         shared_efficiency                                   Shared Memory Efficiency       0.00%       0.00%       0.00%
         27                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
         27                      global_load_requests   Total number of global load requests from Multiprocessor          96       16000        6730
         27                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         27                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         27                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         27                           l2_tex_hit_rate                                          L2 Cache Hit Rate      33.33%      33.33%      33.33%
         27                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)          96       16000        6730
         27                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)          48        8000        3365
         27                  shared_load_transactions                                   Shared Load Transactions           0           0           0
         27                 shared_store_transactions                                  Shared Store Transactions           0           0           0
         27                        tex_cache_hit_rate                                     Unified Cache Hit Rate      50.00%      50.00%      50.00%
         27                    tex_cache_transactions                                 Unified Cache Transactions          96       16000        6730
         27                    dram_read_transactions                            Device Memory Read Transactions         103       17015        7078
         27                   dram_write_transactions                           Device Memory Write Transactions          12        5491        1669
    Kernel: sgemm_32x32x32_TT
         10                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
         10                             flop_count_sp                Floating Point Operations(Single Precision)    10665984    10665984    10665984
         10                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
         10                                inst_fp_64                                    FP Instructions(Double)           0           0           0
         10                                inst_fp_32                                    FP Instructions(Single)     6340608     6340608     6340608
         10                                inst_fp_16                                      HP Instructions(Half)           0           0           0
         10                              inst_integer                                       Integer Instructions     2375680     2375680     2375680
         10                  gld_requested_throughput                           Requested Global Load Throughput  7.8640GB/s  12.957GB/s  11.067GB/s
         10                  gst_requested_throughput                          Requested Global Store Throughput  41.941GB/s  69.103GB/s  59.025GB/s
         10                    shared_load_throughput                              Shared Memory Load Throughput  671.06GB/s  1105.6GB/s  944.41GB/s
         10                   shared_store_throughput                             Shared Memory Store Throughput  440.38GB/s  725.58GB/s  619.77GB/s
         10                            gld_efficiency                              Global Memory Load Efficiency      25.00%      25.00%      25.00%
         10                            gld_throughput                                     Global Load Throughput  31.456GB/s  51.827GB/s  44.269GB/s
         10                            gst_efficiency                             Global Memory Store Efficiency     100.00%     100.00%     100.00%
         10                            gst_throughput                                    Global Store Throughput  41.941GB/s  69.103GB/s  59.025GB/s
         10                         shared_efficiency                                   Shared Memory Efficiency      76.47%      76.47%      76.47%
         10                           global_hit_rate                          Global Hit Rate in unified l1/tex      75.85%      77.15%      76.55%
