==10981== NVPROF is profiling process 10981, command: python main.py --dataset qm9 --datasetPath ./data/qm9/dsgdb9nsd/ --epochs 2 --model MPNNv1 --log-interval 20 --profile-epoch-list 1 --profile-batch-list 100 --batch-size 10 --prefetch 10 --stop-after-profiling --prof-backprop --logPath ./log/2019_03_02__2
==10981== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10981== Profiling application: python main.py --dataset qm9 --datasetPath ./data/qm9/dsgdb9nsd/ --epochs 2 --model MPNNv1 --log-interval 20 --profile-epoch-list 1 --profile-batch-list 100 --batch-size 10 --prefetch 10 --stop-after-profiling --prof-backprop --logPath ./log/2019_03_02__2
==10981== Profiling result:
==10981== Metric result:
Invocations                               Metric Name                                         Metric Description         Min         Max         Avg
Device "GeForce GTX 1070 Ti (0)"
    Kernel: sgemm_32x32x32_TN_vec
         28                            gst_throughput                                    Global Store Throughput  24.532MB/s  45.027GB/s  23.074GB/s
         28                         shared_efficiency                                   Shared Memory Efficiency       0.00%       0.00%       0.00%
         28                           global_hit_rate                          Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
         28                      global_load_requests   Total number of global load requests from Multiprocessor           6      255792       12720
         28                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
         28                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
         28                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
         28                           l2_tex_hit_rate                                          L2 Cache Hit Rate      25.00%      33.32%      25.83%
         28                  l2_tex_read_transactions                            L2 Transactions (Texture Reads)           6      255792       12738
         28                 l2_tex_write_transactions                           L2 Transactions (Texture Writes)           2       85264        4258
         28                  shared_load_transactions                                   Shared Load Transactions           0           0           0
         28                 shared_store_transactions                                  Shared Store Transactions           0           0           0
         28                        tex_cache_hit_rate                                     Unified Cache Hit Rate      33.33%      50.00%      48.78%
         28                    tex_cache_transactions                                 Unified Cache Transactions           6      255792       12720
    Kernel: maxwell_sgemm_128x64_nt
          3                             flop_count_dp                Floating Point Operations(Double Precision)           0           0           0
          3                             flop_count_sp                Floating Point Operations(Single Precision)    14254080    14254080    14254080
          3                             flop_count_hp                  Floating Point Operations(Half Precision)           0           0           0
          3                                inst_fp_64                                    FP Instructions(Double)           0           0           0
          3                                inst_fp_32                                    FP Instructions(Single)     7143936     7143936     7143936
          3                                inst_fp_16                                      HP Instructions(Half)           0           0           0
          3                              inst_integer                                       Integer Instructions      415744      415744      415744
          3                  gld_requested_throughput                           Requested Global Load Throughput  17.588GB/s  17.834GB/s  17.741GB/s
          3                  gst_requested_throughput                          Requested Global Store Throughput  2.2804GB/s  2.3124GB/s  2.3003GB/s
          3                    shared_load_throughput                              Shared Memory Load Throughput  133.21GB/s  135.08GB/s  134.37GB/s
          3                   shared_store_throughput                             Shared Memory Store Throughput  33.084GB/s  33.548GB/s  33.372GB/s
          3                            gld_efficiency                              Global Memory Load Efficiency      78.51%      78.51%      78.51%
          3                            gld_throughput                                     Global Load Throughput  22.401GB/s  22.715GB/s  22.596GB/s
          3                            gst_efficiency                             Global Memory Store Efficiency      77.64%      77.64%      77.64%
          3                            gst_throughput                                    Global Store Throughput  2.9373GB/s  2.9785GB/s  2.9629GB/s
          3                         shared_efficiency                                   Shared Memory Efficiency      48.44%      48.44%      48.44%
          3                           global_hit_rate                          Global Hit Rate in unified l1/tex      12.39%      12.67%      12.53%
          3                      global_load_requests   Total number of global load requests from Multiprocessor       16470       16470       16470
          3                            local_hit_rate                                             Local Hit Rate       0.00%       0.00%       0.00%
          3                       local_load_requests    Total number of local load requests from Multiprocessor           0           0           0
          3                      local_store_requests   Total number of local store requests from Multiprocessor           0           0           0
          3                           l2_tex_hit_rate                                          L2 Cache Hit Rate      49.92%      50.33%      50.12%
